REPORT_DATE,REGION_NAME,PORTFOLIO_NAME,MARKET_DATE,MARKET_HOUR,REALIZED_BOOL,DA_MW,DA_LMP,GENERATION_MW,RT_LMP,PREVIOUS_DAY_FORECAST,PREVIOUS_DAY_FORECAST_VOLUME,PREVIOUS_DAY_FORECAST_PERC10,PREVIOUS_DAY_FORECAST_PERC90
2022-11-01,MISO,Sugar Creek,2022-10-09,15,TRUE,-88.104,35.83,143.288,35.83,2022-10-08T06:00:00Z,88.12900000000,60.580000000000,115.679000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,16,TRUE,-84.096,42.46,142.525,42.46,2022-10-08T06:00:00Z,84.12300000000,56.973000000000,111.272000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,17,TRUE,-71.904,50.12,102.084,50.12,2022-10-08T06:00:00Z,71.91600000000,46.057000000000,97.775000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,18,TRUE,0,75.8,58.998,75.8,2022-10-08T06:00:00Z,48.33700000000,25.008000000000,71.666000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,19,TRUE,0,428.44,47.28,428.44,2022-10-08T06:00:00Z,44.23900000000,21.327000000000,67.151000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,20,TRUE,0,58.35,75.501,58.35,2022-10-08T06:00:00Z,44.32700000000,21.377000000000,67.278000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,21,TRUE,0,51.02,41.069,51.02,2022-10-08T06:00:00Z,43.70700000000,20.795000000000,66.618000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,22,TRUE,0,52.37,0.517,52.37,2022-10-08T06:00:00Z,44.26200000000,21.261000000000,67.262000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,23,TRUE,0,50.25,4.561,50.25,2022-10-08T06:00:00Z,32.62600000000,10.869000000000,54.383000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,24,TRUE,0,51.31,36.837,51.31,2022-10-08T06:00:00Z,28.79400000000,7.429000000000,50.158000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,1,TRUE,0,46.39,93.301,46.39,2022-10-09T06:00:00Z,61.20400000000,36.997000000000,85.411000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,2,TRUE,0,45.5,100.816,45.5,2022-10-09T06:00:00Z,50.94400000000,27.799000000000,74.088000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,3,TRUE,0,47.47,100.869,47.47,2022-10-09T06:00:00Z,44.26300000000,21.802000000000,66.724000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,4,TRUE,0,61.69,99.429,61.69,2022-10-09T06:00:00Z,38.86400000000,16.951000000000,60.776000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,5,TRUE,0,110.75,75.239,110.75,2022-10-09T06:00:00Z,31.86400000000,10.672000000000,53.055000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,6,TRUE,0,56.34,53.727,56.34,2022-10-09T06:00:00Z,22.20900000000,2.025000000000,42.393000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,7,TRUE,0,78.38,21.13,78.38,2022-10-09T06:00:00Z,14.18900000000,0.000000000000,33.539000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,8,TRUE,0,69.45,19.703,69.45,2022-10-09T06:00:00Z,8.63700000000,0.000000000000,27.415000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,9,TRUE,0,62.27,14.927,62.27,2022-10-09T06:00:00Z,2.38800000000,0.000000000000,20.519000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,10,TRUE,0,65.57,3.325,65.57,2022-10-09T06:00:00Z,2.39500000000,0.000000000000,20.549000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,11,TRUE,0,70.66,0,70.66,2022-10-09T06:00:00Z,2.99800000000,0.000000000000,21.240000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,12,TRUE,0,86.22,0,86.22,2022-10-09T06:00:00Z,4.27100000000,0.000000000000,22.673000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,13,TRUE,0,65.1,2.501,65.1,2022-10-09T06:00:00Z,8.46300000000,0.000000000000,27.341000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,14,TRUE,0,62.6,19.703,62.6,2022-10-09T06:00:00Z,13.69100000000,0.000000000000,33.158000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,15,TRUE,0,62.18,33.873,62.18,2022-10-09T06:00:00Z,18.51500000000,0.000000000000,38.528000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,16,TRUE,0,66.77,26.573,66.77,2022-10-09T06:00:00Z,20.48900000000,0.237000000000,40.741000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,17,TRUE,0,61.07,19.696,61.07,2022-10-09T06:00:00Z,16.85800000000,0.000000000000,36.741000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,18,TRUE,0,204.46,7.305,204.46,2022-10-09T06:00:00Z,9.42400000000,0.000000000000,28.524000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,19,TRUE,0,93.77,0,93.77,2022-10-09T06:00:00Z,12.04400000000,0.000000000000,31.453000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,20,TRUE,0,47.65,0,47.65,2022-10-09T06:00:00Z,16.33600000000,0.000000000000,36.236000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,21,TRUE,0,46.05,27.447,46.05,2022-10-09T06:00:00Z,28.44300000000,7.196000000000,49.689000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,22,TRUE,0,42.61,65.104,42.61,2022-10-09T06:00:00Z,48.87800000000,25.373000000000,72.382000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,23,TRUE,0,40.97,123.439,40.97,2022-10-09T06:00:00Z,69.64000000000,43.836000000000,95.445000000000
2022-11-01,MISO,Sugar Creek,2022-10-10,24,TRUE,0,36.48,179.561,36.48,2022-10-09T06:00:00Z,91.44900000000,63.225000000000,119.674000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,1,TRUE,-117.996,-2.03,134.001,-2.03,2022-10-10T06:00:00Z,115.54100000000,88.647000000000,142.435000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,2,TRUE,-118.104,7.42,170,7.42,2022-10-10T06:00:00Z,118.06800000000,91.410000000000,144.727000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,3,TRUE,-123,8.96,173.999,8.96,2022-10-10T06:00:00Z,122.94900000000,96.778000000000,149.120000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,4,TRUE,-117.096,12.14,185,12.14,2022-10-10T06:00:00Z,117.06200000000,90.230000000000,143.895000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,5,TRUE,0,22.81,168.001,22.81,2022-10-10T06:00:00Z,114.67800000000,87.557000000000,141.799000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,6,TRUE,0,12.09,141.999,12.09,2022-10-10T06:00:00Z,119.85200000000,93.251000000000,146.453000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,7,TRUE,0,22.78,135,22.78,2022-10-10T06:00:00Z,120.08400000000,93.475000000000,146.694000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,8,TRUE,0,23.74,128,23.74,2022-10-10T06:00:00Z,114.28800000000,87.024000000000,141.553000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,9,TRUE,-119.004,26.41,106.999,26.41,2022-10-10T06:00:00Z,119.01400000000,92.223000000000,145.805000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,10,TRUE,-143.304,36.2,114.002,36.2,2022-10-10T06:00:00Z,143.35500000000,119.150000000000,167.561000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,11,TRUE,-151.296,60.39,134,60.39,2022-10-10T06:00:00Z,151.34700000000,127.972000000000,174.722000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,12,TRUE,-159.396,44.19,100.001,44.19,2022-10-10T06:00:00Z,159.37500000000,136.837000000000,181.914000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,13,TRUE,-161.4,52.19,104,52.19,2022-10-10T06:00:00Z,161.43900000000,139.096000000000,183.783000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,14,TRUE,-163.704,51.45,99.001,51.45,2022-10-10T06:00:00Z,163.67900000000,141.549000000000,185.808000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,15,TRUE,-163.896,52.96,76,52.96,2022-10-10T06:00:00Z,163.86100000000,141.723000000000,185.998000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,16,TRUE,-163.296,207.9,143.999,207.9,2022-10-10T06:00:00Z,163.33300000000,141.110000000000,185.555000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,17,TRUE,-157.5,36.15,179.001,36.15,2022-10-10T06:00:00Z,157.45100000000,134.562000000000,180.340000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,18,TRUE,-152.004,31.6,179.999,31.6,2022-10-10T06:00:00Z,152.02000000000,128.513000000000,175.527000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,19,TRUE,-149.1,32.82,177.001,32.82,2022-10-10T06:00:00Z,150.56600000000,126.871000000000,174.261000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,20,TRUE,-155.604,28.93,177.001,28.93,2022-10-10T06:00:00Z,155.56200000000,132.382000000000,178.743000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,21,TRUE,-134.904,17.29,179.002,17.29,2022-10-10T06:00:00Z,134.94100000000,109.482000000000,160.399000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,22,TRUE,-126.996,35.03,179.001,35.03,2022-10-10T06:00:00Z,127.02300000000,100.667000000000,153.378000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,23,TRUE,-141.6,11.86,177.999,11.86,2022-10-10T06:00:00Z,141.64200000000,116.852000000000,166.431000000000
2022-11-01,MISO,Sugar Creek,2022-10-11,24,TRUE,-163.896,3.62,172.001,3.62,2022-10-10T06:00:00Z,163.92600000000,141.546000000000,186.307000000000
2022-11-01,MISO,Sugar Creek,2022-10-12,1,TRUE,0,6.01,174,6.01,2022-10-11T06:00:00Z,145.86600000000,122.198000000000,169.534000000000
2022-11-01,MISO,Sugar Creek,2022-10-12,2,TRUE,0,10.72,175.001,10.72,2022-10-11T06:00:00Z,156.19300000000,133.596000000000,178.791000000000
2022-11-01,MISO,Sugar Creek,2022-10-12,3,TRUE,0,14.58,177,14.58,2022-10-11T06:00:00Z,167.45700000000,146.033000000000,188.882000000000
